# キャロットクラブ2025年度 一次募集（2024年産・93頭）: 手動票読みの最終予測 vs 公式抽選最終結果
# 用途: 予測モデルのベンチマーク（予測列×結果列の相関・較正比較）。この#コメント群が唯一の説明書＝CSV単体で完結
# 機械読み込み: #で始まる行をスキップして読む（pandasなら read_csv の comment='#' 指定）。文字コードUTF-8(BOM)・カンマ区切り
# --- 列定義 ---
# year=募集年度 / no=募集番号 / name=募集名(母名の24) / region=入厩予定(関東|関西|地方) / shares=募集口数(400・地方=100) / boyu_eligible=母馬優先対象なら1
# user_p_* = 各申込階層の予測当選率(0-1・1=無抽選当選見込み・小数3桁丸め・申込締切直前に確定した値):
#   user_p_bosai=母優先枠内で×2/×1持ちの最優先併用 / user_p_bo=母優先枠内の一般出資 / user_p_x1=最優先希望×1持ち / user_p_saiyusen=最優先希望×なし / user_p_ippan=一般出資
#   boyu_eligible=0の馬は user_p_bosai/user_p_bo と res_bosai/res_bo が空欄(制度上非該当)
# official_code = 公式最終集計の決着コード: 数字(母優先対象馬のみ)=母優先枠内の決着位置(1〜4=×2/×1/×なし/一般の階層で抽選・5=枠内全当選)、
#   英字=枠外の決着位置(A〜D=×2/×1/×なし/一般の階層で抽選・E=全当選)。例: 3-B は枠内=×なし階層で抽選・枠外=×1階層で抽選
# zan_official = 公式の残口注記。残N=一次申込終了後になお残った口数(公式表記のまま・「残100以上」等の以上表記あり)。全当選(E)の馬に付く。空欄=残口記載なし(=満口)
# res_bosai/res_bo/res_x2/res_x1/res_x0/res_ippan = 階層別の結果: 当=その階層は全員当選 / 抽=抽選実施 / 落=上位階層までで満口となり当選なし / 空欄=非該当
# ×2/×1/×なし = 過去の落選補償の保有状況による優先度(×2が最上位)。階層の当選処理は ×2→×1→×なし→一般 の順
# --- 注記 ---
# 空欄の意味は2種類のみ: ①制度上の非該当(boyu_eligible=0の馬のuser_p_bosai/user_p_bo/res_bosai/res_bo) ②No.9の欠測(予測列・結果列がすべて空欄。no/name等の識別列は入っている)
# No.91は公式発表上の例外(official_code=5-Cだがres_x0=当・原表記のまま収録)
# 予測は個人の手動予測。結果はクラブ公式の一次抽選結果発表に基づく(公式表記と不一致時は公式を正とした)。生成日 2026-08-24
year,no,name,region,shares,boyu_eligible,user_p_bosai,user_p_bo,user_p_x1,user_p_saiyusen,user_p_ippan,official_code,zan_official,res_bosai,res_bo,res_x2,res_x1,res_x0,res_ippan
2025,41,マイティースルーの24,関東,400,1,1,0.03,0.519,0,0,5-C,,当,当,当,当,抽,落
2025,42,エルカスティージョの24,関東,400,1,1,0.4,1,1,0.06,4-D,,当,抽,当,当,当,抽
2025,43,ベルディーヴァの24,関東,400,1,1,1,1,1,1,5-D,,当,当,当,当,当,抽
2025,44,ブロンディーヴァの24,関東,400,1,1,1,1,0.924,0,5-D,,当,当,当,当,当,抽
2025,45,ムーングロウの24,関東,400,0,,,1,1,1,E,残100以上,,,当,当,当,当
2025,46,マラクージャの24,関東,400,0,,,1,1,0.47,D,,,,当,当,当,抽
2025,47,ヒルダズパッションの24,関西,400,0,,,1,1,0.24,D,,,,当,当,当,抽
2025,48,マルシュロレーヌの24,関西,400,1,0.86,0,0.78,0,0,5-A,,当,当,抽,落,落,落
2025,49,ミッドナイトビズーの24,関西,400,0,,,1,1,0.98,E,残100以上,,,当,当,当,当
2025,50,サンダードラムの24,関西,400,0,,,1,0.08,0,B,,,,当,抽,落,落
2025,51,フィニフティの24,関西,400,1,1,1,1,1,0.31,4-D,,当,抽,当,当,当,抽
2025,52,ダイアナブライトの24,関西,400,1,1,1,1,1,0.39,5-D,,当,当,当,当,当,抽
2025,53,プルメリアスターの24,関西,400,1,0.422,0,0.236,0,0,4-A,,当,抽,抽,落,落,落
2025,54,イカットの24,関西,400,0,,,1,0.958,0,C,,,,当,当,抽,落
2025,55,シンハライトの24,関西,400,1,0.66,0,0.915,0,0,5-B,,当,当,当,抽,落,落
2025,56,リスグラシューの24,関西,400,1,0.743,0,0.557,0,0,5-B,,当,当,当,抽,落,落
2025,57,ソーメニーウェイズの24,関西,400,0,,,1,1,0.91,D,,,,当,当,当,抽
2025,58,ヤングスターの24,関西,400,0,,,1,1,0.95,E,残5,,,当,当,当,当
2025,59,メサルティムの24,関西,400,1,1,0.288,1,1,0.039,4-C,,当,抽,当,当,抽,落
2025,60,コハクトウの24,関西,400,0,,,0.773,0,0,B,,,,当,抽,落,落
2025,61,エレガンテレイナの24,関西,400,0,,,1,1,1,E,残35,,,当,当,当,当
2025,62,レシステンシアの24,関西,400,1,1,0.13,1,0.389,0,5-C,,当,当,当,当,抽,落
2025,63,シャルールの24,関西,400,1,1,0.03,1,1,0.198,4-D,,当,抽,当,当,当,抽
2025,64,マリーナドンナの24,関西,400,0,,,1,1,1,D,,,,当,当,当,抽
2025,65,アドマイヤリードの24,関西,400,0,,,1,1,0.28,D,,,,当,当,当,抽
2025,66,コルコバードの24,関西,400,1,1,1,1,1,1,5-E,残51,当,当,当,当,当,当
2025,67,グリューヴァインの24,関西,400,1,1,1,1,1,0.62,5-D,,当,当,当,当,当,抽
2025,68,ピースエンブレムの24,関西,400,1,1,1,1,0.838,0,5-D,,当,当,当,当,当,抽
2025,69,デスティノアーラの24,関西,400,1,1,0.593,1,0.379,0,4-C,,当,抽,当,当,抽,落
2025,70,シーリアの24,関西,400,1,1,0.07,1,0.435,0,4-C,,当,抽,当,当,抽,落
2025,71,レッドティーの24,関西,400,0,,,1,1,0.87,E,残31,,,当,当,当,当
2025,72,クラシックリディアの24,関西,400,1,1,0.52,1,0.635,0,4-C,,当,抽,当,当,抽,落
2025,73,サーティーンスクエアドの24,関西,400,0,,,1,1,0.077,D,,,,当,当,当,抽
2025,74,ユールフェストの24,関西,400,1,1,1,1,1,0.15,5-D,,当,当,当,当,当,抽
2025,75,ココファンタジアの24,関西,400,1,1,0.935,1,0.876,0,5-C,,当,当,当,当,抽,落
2025,76,パッシングスルーの24,関西,400,1,1,1,1,1,0.55,5-E,残14,当,当,当,当,当,当
2025,77,エールデュレーヴの24,関西,400,1,1,1,1,1,1,5-E,残100以上,当,当,当,当,当,当
2025,78,クロワドフェールの24,関西,400,1,1,0.847,1,1,0.129,4-D,,当,抽,当,当,当,抽
2025,79,バイラオーラの24,関西,400,1,1,1,1,1,0.16,5-D,,当,当,当,当,当,抽
2025,80,ブルーメンクローネの24,関西,400,1,1,1,1,1,0.51,5-D,,当,当,当,当,当,抽
2025,81,アルドゥエンナの24,関西,400,1,1,0.7,1,0.66,0,5-C,,当,当,当,当,抽,落
2025,82,バーニングヒートの24,関西,400,0,,,1,0.787,0,D,,,,当,当,当,抽
2025,83,アディクティドの24,関西,400,0,,,1,0.217,0,C,,,,当,当,抽,落
2025,84,アロマドゥルセの24,関西,400,1,1,1,1,1,0.28,5-D,,当,当,当,当,当,抽
2025,85,カイカヨソウの24,関西,400,1,1,1,1,1,1,5-E,残100以上,当,当,当,当,当,当
2025,86,ジョイネヴァーランドの24,関西,400,0,,,1,0.986,0,D,,,,当,当,当,抽
2025,87,ミスエクストラの24,関西,400,0,,,1,1,0.198,D,,,,当,当,当,抽
2025,88,ウナアラバレーラの24,関西,400,0,,,1,0.687,0,C,,,,当,当,抽,落
2025,89,エンブレマータの24,地方,100,0,,,1,1,1,E,残25以上,,,当,当,当,当
2025,90,ミクロコスモスの24,地方,100,0,,,1,1,1,D,,,,当,当,当,抽
2025,91,ヴィータアレグリアの24,地方,100,1,1,0.11,1,1,0.195,5-C,,当,当,当,当,当,落
2025,92,マスターワークの24,地方,100,1,1,1,1,1,1,4-D,,当,抽,当,当,当,抽
2025,93,ティンバレスの24,地方,100,1,1,1,1,1,1,5-E,残25以上,当,当,当,当,当,当
